study_arm,added_steps,suite,policy_mode,n,goal,safety,timeout,collision,goal_pct,safety_pct,timeout_pct,mean_original_return,mean_min_clearance_m,goal_only_mean_path_m,goal_only_mean_sim_time_s
feedback_200,1499,E2,stochastic,40,39,1,0,0,97.5,2.5,0.0,110.80806308843201,0.377928039804101,2.6488456998606114,22.42846153846154
feedback_200,1499,E2,deterministic,40,39,1,0,0,97.5,2.5,0.0,113.92161544247283,0.38176498748362064,2.644241591655745,19.71564102564103
feedback_200,1499,E3,all,8,8,0,0,0,100.0,0.0,0.0,115.75052262648794,0.4592924565076828,1.8141979080899695,12.838000000000015
feedback_200,1499,E3,stochastic,4,4,0,0,0,100.0,0.0,0.0,114.56824837636475,0.439504973590374,1.8138380556868772,13.576000000000008
feedback_200,1499,E3,deterministic,4,4,0,0,0,100.0,0.0,0.0,116.93279687661114,0.4790799394249916,1.8145577604930618,12.100000000000023
feedback_200,1500,E2,all,80,78,2,0,0,97.5,2.5,0.0,111.94667442860766,0.3833408147096634,2.631719758231271,20.928410256410256
feedback_200,1500,E2,stochastic,40,39,1,0,0,97.5,2.5,0.0,109.95214296207969,0.3812939114868641,2.605423189226261,22.082153846153847
feedback_200,1500,E2,deterministic,40,39,1,0,0,97.5,2.5,0.0,113.94120589513564,0.3853877179324627,2.6580163272362807,19.77466666666667
feedback_200,1500,E3,all,8,8,0,0,0,100.0,0.0,0.0,115.8652083159709,0.45961837843060493,1.8155822817624565,12.824999999999982
feedback_200,1500,E3,stochastic,4,4,0,0,0,100.0,0.0,0.0,114.79750238775308,0.43815161287784576,1.8166073935453144,13.549999999999997
feedback_200,1500,E3,deterministic,4,4,0,0,0,100.0,0.0,0.0,116.93291424418871,0.4810851439833641,1.8145571699795986,12.099999999999966
feedback_200,1750,E2,all,80,53,20,7,0,66.25,25.0,8.75,73.54351225501325,0.29210769925266505,2.668441061930575,21.009830188679246
feedback_200,1750,E2,stochastic,40,27,11,2,0,67.5,27.5,5.0,73.51077043773033,0.30069073140621183,2.5090052401285505,20.397074074074077
feedback_200,1750,E2,deterministic,40,26,9,5,0,65.0,22.5,12.5,73.57625407229618,0.2835246670991182,2.834009030724985,21.646153846153844
feedback_200,1750,E3,all,8,8,0,0,0,100.0,0.0,0.0,116.3465233737676,0.44777216762304306,1.8561412300674727,12.725000000000001
